Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2006,New Jersey,Colon and Rectum,51.2,49.7,52.6,4788,8661679
2006,New York,Colon and Rectum,48.8,47.9,49.8,10059,19104631
2006,Illinois,Colon and Rectum,55.1,53.8,56.4,7042,12643955
2006,Indiana,Colon and Rectum,51.8,50.1,53.6,3383,6332669
2006,Iowa,Colon and Rectum,54.6,52.1,57.1,1903,2982644
2006,Kansas,Colon and Rectum,49.5,47,52.1,1462,2762931
2006,Kentucky,Colon and Rectum,55.9,53.7,58.1,2490,4219239
2006,Louisiana,Colon and Rectum,54.1,52,56.4,2355,4302665
2006,Maine,Colon and Rectum,50.8,47.3,54.4,814,1323619
2006,Maryland,Colon and Rectum,44.5,42.8,46.3,2501,5627367
2006,Massachusetts,Colon and Rectum,48.7,47.1,50.4,3468,6410084
2006,Michigan,Colon and Rectum,49.4,48,50.8,5229,10036081
2006,Georgia,Colon and Rectum,48.3,46.8,49.8,3928,9155813
2006,Hawaii,Colon and Rectum,48.1,44.6,51.8,701,1309731
2006,District of Columbia,Colon and Rectum,47.1,41.6,53.2,267,570681
2006,Florida,Colon and Rectum,46.8,45.9,47.7,10696,18166990
2006,Delaware,Colon and Rectum,53.6,48.9,58.5,499,859268
2006,Connecticut,Colon and Rectum,48.8,46.7,51.1,1942,3517460
2006,Oregon,Colon and Rectum,43.9,41.9,46.1,1768,3670883
2007,New Mexico,Colon and Rectum,40.7,38,43.5,849,1990070
2007,Oregon,Colon and Rectum,41.9,39.9,44,1734,3722417
2007,Washington,Colon and Rectum,40.8,39.3,42.4,2667,6461587
2007,Wyoming,Colon and Rectum,40.5,35.3,46.3,225,534876
2007,Idaho,Colon and Rectum,41.7,38.4,45.2,608,1505105
2007,Arizona,Colon and Rectum,38.9,37.3,40.4,2487,6167681
2007,Colorado,Colon and Rectum,40.9,39,42.9,1801,4803868
2007,Alaska,Colon and Rectum,41.9,35.9,48.5,210,680300
2007,Minnesota,Colon and Rectum,46.5,44.7,48.3,2528,5207203
2007,Michigan,Colon and Rectum,47.6,46.3,49,5148,10001284
2007,Montana,Colon and Rectum,46.3,42.4,50.5,523,964706
2007,Nevada,Colon and Rectum,42.7,40.1,45.4,1052,2601072
2007,New Hampshire,Colon and Rectum,46.8,43.3,50.6,667,1312540
2007,New York,Colon and Rectum,48.7,47.8,49.7,10167,19132335
2007,Florida,Colon and Rectum,44.9,44,45.8,10440,18367842
2007,Georgia,Colon and Rectum,47.6,46.2,49.2,4029,9349988
2007,North Carolina,Colon and Rectum,45.4,44.1,46.8,4312,9118037
2007,Hawaii,Colon and Rectum,46.4,43,50.1,692,1315675
2007,Virginia,Colon and Rectum,43.9,42.4,45.4,3405,7751000
2007,Wisconsin,Colon and Rectum,45.3,43.6,47.1,2778,5610775
2007,South Carolina,Colon and Rectum,47.1,45.1,49.1,2247,4444110
2007,Tennessee,Colon and Rectum,48.2,46.5,49.9,3184,6175727
2007,Texas,Colon and Rectum,45,44.1,45.9,9419,23831983
2007,Vermont,Colon and Rectum,42.8,38.1,48,307,623481
2007,Utah,Colon and Rectum,36.7,34.1,39.5,727,2597746
2007,Mississippi,Colon and Rectum,52.5,49.9,55.2,1584,2928350
2007,Missouri,Colon and Rectum,49.6,47.9,51.4,3215,5887612
2007,Nebraska,Colon and Rectum,55.9,52.6,59.4,1087,1783440
2007,District of Columbia,Colon and Rectum,55.4,49.4,62,311,574404
2007,New Jersey,Colon and Rectum,49.1,47.7,50.5,4666,8677885
2007,North Dakota,Colon and Rectum,57.7,52.4,63.5,442,652822
2007,Ohio,Colon and Rectum,49.2,48,50.4,6306,11500468
2007,Oklahoma,Colon and Rectum,49.3,47.1,51.6,1925,3634349
2007,Pennsylvania,Colon and Rectum,51.2,50,52.3,7847,12563937
2007,Rhode Island,Colon and Rectum,49.8,45.8,54,606,1057315
2007,West Virginia,Colon and Rectum,53.3,50.3,56.4,1221,1834052
2007,South Dakota,Colon and Rectum,52.9,48.2,57.9,478,791623
2007,Maine,Colon and Rectum,50,46.6,53.6,817,1327040
2007,Maryland,Colon and Rectum,44.6,42.9,46.4,2544,5653408
2007,Massachusetts,Colon and Rectum,46.4,44.8,48,3353,6431559
2007,Iowa,Colon and Rectum,51,48.6,53.4,1805,2999212
2007,Kansas,Colon and Rectum,47.6,45.1,50.1,1421,2783785
2007,Indiana,Colon and Rectum,50.1,48.4,51.9,3331,6379599
2007,Illinois,Colon and Rectum,52.7,51.4,54,6824,12695866
2007,Louisiana,Colon and Rectum,53.7,51.6,55.9,2410,4375581
2007,Kentucky,Colon and Rectum,56.1,53.9,58.4,2557,4256672
2007,Delaware,Colon and Rectum,49.7,45.3,54.5,476,871749
2007,Arkansas,Colon and Rectum,46.7,44.3,49.2,1484,2848650
2007,California,Colon and Rectum,44.5,43.8,45.2,15100,36250311
2007,Connecticut,Colon and Rectum,45.7,43.7,47.9,1852,3527270
2007,Alabama,Colon and Rectum,49.6,47.7,51.6,2527,4672840
2008,New Mexico,Colon and Rectum,38.4,35.8,41.2,820,2010662
2008,Oregon,Colon and Rectum,41.6,39.7,43.7,1759,3768748
2008,Arizona,Colon and Rectum,38.8,37.3,40.3,2532,6280362
2008,Colorado,Colon and Rectum,38.5,36.6,40.3,1751,4889730
2008,Idaho,Colon and Rectum,41.4,38.2,44.8,632,1534320
2008,Washington,Colon and Rectum,41.7,40.1,43.3,2795,6562231
2008,Vermont,Colon and Rectum,41.6,36.9,46.7,300,624151
2008,Virginia,Colon and Rectum,40.8,39.4,42.3,3242,7833496
2008,Kansas,Colon and Rectum,47.7,45.2,50.3,1434,2808076
2008,Maine,Colon and Rectum,44.8,41.6,48.1,744,1330509
2008,Maryland,Colon and Rectum,43.4,41.7,45.1,2528,5684965
2008,Massachusetts,Colon and Rectum,44.8,43.2,46.3,3280,6468967
2008,Michigan,Colon and Rectum,44.4,43.1,45.7,4842,9946889
2008,Minnesota,Colon and Rectum,45.3,43.5,47.1,2506,5247018
2008,Missouri,Colon and Rectum,48.7,47,50.5,3215,5923916
2008,Montana,Colon and Rectum,47.5,43.6,51.8,546,976415
2008,Nevada,Colon and Rectum,44.2,41.6,46.9,1121,2653630
2008,New Hampshire,Colon and Rectum,46.6,43.2,50.4,679,1315906
2008,New Jersey,Colon and Rectum,47.9,46.5,49.3,4617,8711090
2008,New York,Colon and Rectum,47.1,46.1,48,9944,19212436
2008,North Carolina,Colon and Rectum,43.5,42.2,44.8,4248,9309449
2008,Ohio,Colon and Rectum,48.3,47.1,49.5,6272,11515391
2008,Oklahoma,Colon and Rectum,45.9,43.8,48.1,1807,3668976
2008,Pennsylvania,Colon and Rectum,48.7,47.6,49.9,7558,12612285
2008,Rhode Island,Colon and Rectum,44,40.3,47.9,551,1055003
2008,South Carolina,Colon and Rectum,44.6,42.8,46.6,2196,4528996
2008,Utah,Colon and Rectum,37.1,34.5,39.9,761,2663029
2008,Wyoming,Colon and Rectum,38.1,33.1,43.6,219,546043
2008,South Dakota,Colon and Rectum,47.6,43.2,52.3,441,799124
2008,Tennessee,Colon and Rectum,48,46.3,49.7,3239,6247411
2008,Texas,Colon and Rectum,43,42.1,43.8,9295,24309039
2008,Alaska,Colon and Rectum,47.5,41.2,54.5,244,687455
2008,Arkansas,Colon and Rectum,47.6,45.2,50.1,1537,2874554
2008,California,Colon and Rectum,44.3,43.6,45.1,15404,36604337
2008,Connecticut,Colon and Rectum,44.5,42.5,46.6,1827,3545579
2008,Indiana,Colon and Rectum,49,47.3,50.7,3328,6424806
2008,Iowa,Colon and Rectum,51.4,49,53.8,1837,3016734
2008,Kentucky,Colon and Rectum,54.4,52.3,56.6,2522,4289878
2008,Louisiana,Colon and Rectum,53.2,51.1,55.4,2414,4435586
2008,Mississippi,Colon and Rectum,53.1,50.5,55.7,1625,2947806
2008,Nebraska,Colon and Rectum,53.1,49.9,56.4,1049,1796378
2008,North Dakota,Colon and Rectum,52.8,47.8,58.2,418,657569
2008,Alabama,Colon and Rectum,50.6,48.6,52.6,2631,4718206
2008,Delaware,Colon and Rectum,45.9,41.8,50.4,453,883874
2008,District of Columbia,Colon and Rectum,42.8,37.6,48.7,245,580236
2008,Florida,Colon and Rectum,45,44.1,45.9,10695,18527305
2008,Georgia,Colon and Rectum,44.1,42.7,45.6,3865,9504843
2008,Hawaii,Colon and Rectum,48.6,45.1,52.2,747,1332213
2008,Illinois,Colon and Rectum,50.9,49.7,52.2,6713,12747038
2008,West Virginia,Colon and Rectum,52.3,49.4,55.4,1211,1840310
2008,Wisconsin,Colon and Rectum,45.2,43.6,47,2828,5640996
2009,Texas,Colon and Rectum,41.7,40.8,42.6,9330,24801761
2009,Minnesota,Colon and Rectum,41.5,39.8,43.2,2338,5281203
2009,New Hampshire,Colon and Rectum,40.9,37.7,44.4,610,1316102
2009,North Carolina,Colon and Rectum,41.7,40.4,43,4172,9449566
2009,Oregon,Colon and Rectum,41.1,39.1,43.1,1753,3808600
2009,Maryland,Colon and Rectum,39.7,38.1,41.3,2392,5730388
2009,South Carolina,Colon and Rectum,41.6,39.9,43.5,2102,4589872
2009,Rhode Island,Colon and Rectum,42.1,38.6,46,528,1053646
2009,Wyoming,Colon and Rectum,39.9,34.8,45.5,234,559851
2009,Vermont,Colon and Rectum,42.1,37.5,47.1,313,624817
2009,Virginia,Colon and Rectum,40.9,39.5,42.4,3352,7925937
2009,Washington,Colon and Rectum,41.9,40.3,43.4,2883,6667426
2009,California,Colon and Rectum,42.1,41.4,42.8,15031,36961229
2009,Idaho,Colon and Rectum,40.5,37.4,43.8,635,1554439
2009,Florida,Colon and Rectum,41.5,40.7,42.3,10058,18652644
2009,Tennessee,Colon and Rectum,44,42.4,45.6,3019,6306019
2009,Massachusetts,Colon and Rectum,43.3,41.8,44.8,3222,6517613
2009,Michigan,Colon and Rectum,43.2,41.9,44.4,4801,9901591
2009,Missouri,Colon and Rectum,45.6,43.9,47.2,3044,5961088
2009,Montana,Colon and Rectum,43,39.2,47,506,983982
2009,Nebraska,Colon and Rectum,47.2,44.2,50.4,948,1812683
2009,Nevada,Colon and Rectum,43.7,41.2,46.4,1142,2684665
2009,New Jersey,Colon and Rectum,46.1,44.7,47.5,4496,8755602
2009,New York,Colon and Rectum,44.4,43.5,45.3,9518,19307066
2009,North Dakota,Colon and Rectum,46.2,41.5,51.3,359,664968
2009,Ohio,Colon and Rectum,46.3,45.1,47.4,6079,11528896
2009,Oklahoma,Colon and Rectum,47.1,44.9,49.2,1902,3717572
2009,Maine,Colon and Rectum,45.7,42.5,49.1,769,1329590
2009,Kansas,Colon and Rectum,44.8,42.4,47.3,1364,2832704
2009,Iowa,Colon and Rectum,47.8,45.5,50.1,1745,3032870
2009,Illinois,Colon and Rectum,47.1,45.9,48.3,6292,12796778
2009,Indiana,Colon and Rectum,46.6,44.9,48.2,3204,6459325
2009,Pennsylvania,Colon and Rectum,47.6,46.5,48.7,7442,12666858
2009,Wisconsin,Colon and Rectum,42.5,40.9,44.2,2700,5669264
2009,Arkansas,Colon and Rectum,44.6,42.4,47,1468,2896843
2009,Alabama,Colon and Rectum,46.8,44.9,48.7,2474,4757938
2009,Georgia,Colon and Rectum,43.7,42.3,45.1,3912,9620846
2009,Hawaii,Colon and Rectum,46.8,43.4,50.4,737,1346717
2009,Delaware,Colon and Rectum,42.1,38.1,46.3,430,891730
2009,Connecticut,Colon and Rectum,43.9,41.8,46,1826,3561807
2009,District of Columbia,Colon and Rectum,48.1,42.5,54.2,275,592228
2009,Utah,Colon and Rectum,33,30.6,35.5,701,2723421
2009,Colorado,Colon and Rectum,35.9,34.2,37.7,1700,4972195
2009,New Mexico,Colon and Rectum,37.5,34.9,40.1,832,2036802
2009,Arizona,Colon and Rectum,38.2,36.7,39.7,2590,6343154
2009,Mississippi,Colon and Rectum,50.3,47.8,52.9,1558,2958774
2009,Louisiana,Colon and Rectum,50.1,48,52.2,2337,4491648
2009,Kentucky,Colon and Rectum,54,51.9,56.1,2546,4317074
2009,South Dakota,Colon and Rectum,50.4,45.9,55.2,470,807067
2009,West Virginia,Colon and Rectum,49.4,46.6,52.4,1159,1847775
2009,Alaska,Colon and Rectum,51.2,44.9,58.1,286,698895
2010,California,Colon and Rectum,40,39.4,40.7,14707,37332685
2010,Connecticut,Colon and Rectum,41.3,39.4,43.4,1750,3579899
2010,Florida,Colon and Rectum,38.7,37.9,39.5,9559,18849098
2010,Georgia,Colon and Rectum,41.2,39.9,42.5,3825,9713521
2010,Texas,Colon and Rectum,40.4,39.6,41.2,9286,25244310
2010,Wisconsin,Colon and Rectum,40.2,38.6,41.8,2593,5690263
2010,Maine,Colon and Rectum,39.9,36.9,43.1,675,1327730
2010,Maryland,Colon and Rectum,38.4,36.8,40,2345,5788584
2010,Massachusetts,Colon and Rectum,39.7,38.2,41.1,2997,6565524
2010,Michigan,Colon and Rectum,41.1,39.9,42.4,4639,9877495
2010,Minnesota,Colon and Rectum,41.2,39.5,42.9,2365,5311147
2010,Nevada,Colon and Rectum,41.6,39.1,44.2,1130,2703284
2010,North Carolina,Colon and Rectum,39.8,38.6,41,4092,9558915
2010,Ohio,Colon and Rectum,42,40.9,43.1,5598,11540983
2010,Rhode Island,Colon and Rectum,41,37.4,44.8,509,1053337
2010,Iowa,Colon and Rectum,46.6,44.4,48.9,1703,3050738
2010,Kansas,Colon and Rectum,43.2,40.9,45.6,1343,2858850
2010,Illinois,Colon and Rectum,46.8,45.6,47.9,6357,12841578
2010,Indiana,Colon and Rectum,45.3,43.7,46.9,3147,6490528
2010,Alabama,Colon and Rectum,44.2,42.4,46,2376,4785492
2010,Arkansas,Colon and Rectum,43.3,41,45.6,1441,2921995
2010,Delaware,Colon and Rectum,42.5,38.6,46.7,445,899816
2010,District of Columbia,Colon and Rectum,46.3,40.9,52.2,273,605183
2010,Hawaii,Colon and Rectum,46.2,42.8,49.7,738,1363945
2010,Tennessee,Colon and Rectum,43.5,42,45.1,3057,6356671
2010,West Virginia,Colon and Rectum,45.8,43,48.7,1073,1854230
2010,Wyoming,Colon and Rectum,43.3,38.1,49,262,564513
2010,Missouri,Colon and Rectum,44.4,42.8,46.1,3010,5996118
2010,Montana,Colon and Rectum,43.8,40.1,47.8,530,990641
2010,Nebraska,Colon and Rectum,46.3,43.4,49.4,945,1830051
2010,New Jersey,Colon and Rectum,44.1,42.8,45.4,4382,8803729
2010,New York,Colon and Rectum,43.5,42.6,44.4,9431,19402640
2010,North Dakota,Colon and Rectum,47.2,42.4,52.4,367,674526
2010,Oklahoma,Colon and Rectum,42.2,40.2,44.3,1729,3759603
2010,Pennsylvania,Colon and Rectum,44.5,43.5,45.6,7012,12712343
2010,South Carolina,Colon and Rectum,42.2,40.4,44,2190,4635943
2010,Utah,Colon and Rectum,31.6,29.2,34.1,694,2775326
2010,Colorado,Colon and Rectum,35,33.3,36.8,1702,5048644
2010,Idaho,Colon and Rectum,35.6,32.7,38.7,574,1571010
2010,New Hampshire,Colon and Rectum,34.6,31.7,37.8,529,1316872
2010,Arizona,Colon and Rectum,36.5,35.1,37.9,2542,6408312
2010,Vermont,Colon and Rectum,37,32.8,41.7,287,625982
2010,Virginia,Colon and Rectum,37.8,36.4,39.1,3163,8025773
2010,Washington,Colon and Rectum,37.9,36.5,39.4,2687,6743226
2010,New Mexico,Colon and Rectum,36.2,33.7,38.8,820,2064756
2010,Oregon,Colon and Rectum,37.9,36.1,39.9,1661,3838048
2010,Kentucky,Colon and Rectum,51.3,49.3,53.4,2468,4348662
2010,Alaska,Colon and Rectum,48.8,42.7,55.5,281,714031
2010,Louisiana,Colon and Rectum,51.3,49.3,53.4,2449,4544996
2010,Mississippi,Colon and Rectum,52.2,49.7,54.8,1647,2970322
2010,South Dakota,Colon and Rectum,51.8,47.2,56.7,488,816325
2011,Arkansas,Colon and Rectum,42.2,40,44.4,1432,2939493
2011,District of Columbia,Colon and Rectum,44.6,39.3,50.4,267,620477
2011,Indiana,Colon and Rectum,44.4,42.8,46,3159,6516480
2011,Iowa,Colon and Rectum,45.9,43.7,48.2,1694,3065223
2011,Illinois,Colon and Rectum,46.7,45.6,47.9,6441,12860012
2011,Hawaii,Colon and Rectum,45.3,42,48.7,740,1377864
2011,Louisiana,Colon and Rectum,48.3,46.3,50.4,2343,4575404
2011,Missouri,Colon and Rectum,43.6,42,45.2,3008,6010717
2011,Nebraska,Colon and Rectum,45,42.1,48.1,918,1842283
2011,New Jersey,Colon and Rectum,43.4,42.1,44.7,4362,8841243
2011,North Dakota,Colon and Rectum,45.3,40.7,50.4,366,685476
2011,Ohio,Colon and Rectum,42.3,41.2,43.5,5700,11544824
2011,Oklahoma,Colon and Rectum,42.3,40.3,44.3,1767,3786274
2011,Pennsylvania,Colon and Rectum,44.8,43.7,45.9,7124,12744293
2011,South Dakota,Colon and Rectum,46,41.8,50.7,444,824398
2011,West Virginia,Colon and Rectum,48.1,45.3,51.1,1149,1854972
2011,Utah,Colon and Rectum,32.9,30.6,35.4,735,2816124
2011,Arizona,Colon and Rectum,35,33.7,36.5,2500,6467163
2011,Colorado,Colon and Rectum,35,33.3,36.7,1731,5118360
2011,New Mexico,Colon and Rectum,36,33.6,38.6,835,2077756
2011,Wyoming,Colon and Rectum,36,31.3,41.3,222,567725
2011,California,Colon and Rectum,38.2,37.5,38.8,14389,37676861
2011,Massachusetts,Colon and Rectum,38.3,36.9,39.7,2936,6611923
2011,Oregon,Colon and Rectum,36.9,35.1,38.8,1649,3868031
2011,Rhode Island,Colon and Rectum,38,34.6,41.7,482,1052451
2011,Virginia,Colon and Rectum,36.7,35.4,38,3145,8110035
2011,Washington,Colon and Rectum,37.6,36.2,39.1,2705,6822520
2011,Alabama,Colon and Rectum,42.1,40.4,43.9,2311,4799918
2011,Alaska,Colon and Rectum,40.9,35.6,46.7,260,722713
2011,Connecticut,Colon and Rectum,39.5,37.6,41.5,1676,3589893
2011,Delaware,Colon and Rectum,38.4,34.7,42.5,404,907924
2011,Kansas,Colon and Rectum,40.6,38.4,43,1267,2869503
2011,Florida,Colon and Rectum,39.5,38.8,40.3,9992,19096952
2011,Georgia,Colon and Rectum,42.1,40.7,43.4,3982,9811610
2011,Idaho,Colon and Rectum,39.1,36.1,42.3,641,1584143
2011,Maine,Colon and Rectum,39,36,42.2,656,1328231
2011,Maryland,Colon and Rectum,38.6,37.1,40.2,2430,5843603
2011,Michigan,Colon and Rectum,39.4,38.2,40.6,4498,9876213
2011,Minnesota,Colon and Rectum,39.3,37.7,41,2301,5348562
2011,Montana,Colon and Rectum,38.9,35.4,42.7,474,997821
2011,Nevada,Colon and Rectum,41.7,39.3,44.3,1157,2718379
2011,New Hampshire,Colon and Rectum,41.6,38.4,45.1,650,1318473
2011,New York,Colon and Rectum,41.8,41,42.7,9174,19519529
2011,North Carolina,Colon and Rectum,39,37.8,40.3,4105,9650963
2011,South Carolina,Colon and Rectum,39.8,38.1,41.6,2115,4672637
2011,Tennessee,Colon and Rectum,40.8,39.3,42.4,2924,6397634
2011,Texas,Colon and Rectum,39.1,38.3,39.9,9299,25646389
2011,Vermont,Colon and Rectum,39.2,34.8,44,304,626730
2011,Wisconsin,Colon and Rectum,40.1,38.6,41.7,2635,5709640
2011,Kentucky,Colon and Rectum,50,48,52,2445,4369354
2011,Mississippi,Colon and Rectum,49.4,46.9,51.9,1597,2978162
2012,Tennessee,Colon and Rectum,41.6,40.1,43.1,3048,6454306
2012,Texas,Colon and Rectum,38.6,37.8,39.4,9477,26071655
2012,Vermont,Colon and Rectum,39.9,35.5,44.8,310,626444
2012,Alabama,Colon and Rectum,44.1,42.3,45.9,2436,4815960
2012,Arkansas,Colon and Rectum,42.4,40.2,44.7,1452,2950685
2012,Illinois,Colon and Rectum,43.9,42.8,45.1,6164,12870798
2012,Indiana,Colon and Rectum,42.8,41.3,44.4,3104,6537743
2012,Iowa,Colon and Rectum,44.8,42.6,47.1,1651,3076310
2012,Mississippi,Colon and Rectum,48.7,46.3,51.2,1595,2984945
2012,Missouri,Colon and Rectum,43.4,41.8,45,3034,6025415
2012,Nebraska,Colon and Rectum,43.8,40.9,46.8,903,1855725
2012,New Jersey,Colon and Rectum,42.6,41.4,44,4382,8873211
2012,Oklahoma,Colon and Rectum,43.7,41.7,45.8,1838,3817054
2012,Pennsylvania,Colon and Rectum,43,42,44,6924,12771854
2012,West Virginia,Colon and Rectum,45.5,42.8,48.4,1100,1856560
2012,Utah,Colon and Rectum,30.5,28.3,32.9,703,2855782
2012,Colorado,Colon and Rectum,34.1,32.5,35.8,1765,5189867
2012,New Mexico,Colon and Rectum,33.1,30.7,35.6,766,2083784
2012,Arizona,Colon and Rectum,34.8,33.5,36.2,2573,6549634
2012,Delaware,Colon and Rectum,35.3,31.8,39.1,385,916993
2012,Idaho,Colon and Rectum,35.8,33,38.9,601,1595911
2012,Florida,Colon and Rectum,37.2,36.4,38,9636,19344156
2012,California,Colon and Rectum,36.9,36.3,37.5,14250,38011074
2012,Maryland,Colon and Rectum,36.9,35.4,38.4,2357,5889651
2012,Massachusetts,Colon and Rectum,37.2,35.8,38.6,2884,6658008
2012,Minnesota,Colon and Rectum,37.7,36.1,39.3,2246,5380285
2012,Montana,Colon and Rectum,36.1,32.8,39.8,451,1005196
2012,New Hampshire,Colon and Rectum,37.9,34.8,41.2,598,1321182
2012,North Carolina,Colon and Rectum,37.1,36,38.3,4017,9746175
2012,Oregon,Colon and Rectum,36.2,34.4,38,1650,3899116
2012,Rhode Island,Colon and Rectum,37.1,33.8,40.7,478,1052901
2012,Virginia,Colon and Rectum,37.3,36,38.6,3278,8192048
2012,Washington,Colon and Rectum,36.1,34.7,37.5,2689,6895226
2012,Wisconsin,Colon and Rectum,38,36.6,39.6,2547,5726177
2012,Wyoming,Colon and Rectum,37.1,32.3,42.3,230,576765
2012,Georgia,Colon and Rectum,42.1,40.8,43.5,4143,9914668
2012,District of Columbia,Colon and Rectum,41.3,36.3,46.9,252,635327
2012,Alaska,Colon and Rectum,40.4,35.1,46.2,247,731089
2012,Connecticut,Colon and Rectum,40.6,38.7,42.6,1761,3593795
2012,Hawaii,Colon and Rectum,42,38.9,45.4,700,1391820
2012,Kansas,Colon and Rectum,41.9,39.7,44.3,1341,2885262
2012,Maine,Colon and Rectum,38.3,35.3,41.4,666,1328895
2012,Michigan,Colon and Rectum,38.7,37.6,39.9,4513,9887238
2012,Nevada,Colon and Rectum,39.2,36.9,41.6,1128,2752565
2012,New York,Colon and Rectum,39.4,38.6,40.3,8795,19602769
2012,Ohio,Colon and Rectum,40.8,39.7,41.9,5596,11550839
2012,South Carolina,Colon and Rectum,39.1,37.4,40.8,2138,4720760
2012,South Dakota,Colon and Rectum,41.3,37.3,45.6,409,834441
2012,Kentucky,Colon and Rectum,50.2,48.2,52.3,2507,4384799
2012,Louisiana,Colon and Rectum,49,47.1,51.1,2423,4603429
2012,North Dakota,Colon and Rectum,50.9,46,56.3,405,702087
2013,South Dakota,Colon and Rectum,41.6,37.6,45.9,422,844922
2013,Nebraska,Colon and Rectum,41.3,38.6,44.2,870,1868559
2013,Missouri,Colon and Rectum,41.4,39.9,43,2961,6042711
2013,Montana,Colon and Rectum,39.2,35.8,42.9,502,1014314
2013,Minnesota,Colon and Rectum,39,37.4,40.7,2394,5418521
2013,Kansas,Colon and Rectum,39.3,37.2,41.6,1275,2892821
2013,Georgia,Colon and Rectum,41.3,40,42.6,4185,9984938
2013,Alabama,Colon and Rectum,44.3,42.6,46.1,2513,4829479
2013,Alaska,Colon and Rectum,43.6,38.2,49.5,276,736879
2013,Arkansas,Colon and Rectum,43.9,41.7,46.2,1535,2958663
2013,District of Columbia,Colon and Rectum,42.2,37.1,47.8,256,649165
2013,Oklahoma,Colon and Rectum,43.1,41.1,45.1,1862,3852415
2013,North Dakota,Colon and Rectum,47,42.3,52.2,384,724019
2013,Pennsylvania,Colon and Rectum,42.8,41.8,43.8,6979,12781338
2013,West Virginia,Colon and Rectum,47.7,45,50.6,1167,1853231
2013,Louisiana,Colon and Rectum,45.3,43.4,47.2,2293,4626402
2013,Iowa,Colon and Rectum,43.5,41.4,45.7,1627,3091930
2013,Indiana,Colon and Rectum,43.4,41.9,45,3169,6569102
2013,Illinois,Colon and Rectum,43.5,42.4,44.6,6207,12879505
2013,Hawaii,Colon and Rectum,42.5,39.3,45.8,718,1406481
2013,Wyoming,Colon and Rectum,32.6,28.3,37.5,212,582684
2013,Utah,Colon and Rectum,32.2,29.9,34.6,763,2902663
2013,Arizona,Colon and Rectum,32.9,31.6,34.2,2508,6624617
2013,Colorado,Colon and Rectum,34.4,32.8,36.1,1844,5267603
2013,New Mexico,Colon and Rectum,32.8,30.5,35.2,786,2085193
2013,Vermont,Colon and Rectum,33.5,29.5,37.9,268,627140
2013,California,Colon and Rectum,35.5,34.9,36.1,14141,38335203
2013,Delaware,Colon and Rectum,35.2,31.7,38.9,393,925395
2013,Rhode Island,Colon and Rectum,35.7,32.5,39.3,462,1053033
2013,Oregon,Colon and Rectum,35.6,33.9,37.4,1663,3925751
2013,Washington,Colon and Rectum,35.7,34.3,37.1,2746,6968006
2013,Virginia,Colon and Rectum,35.8,34.6,37.1,3225,8262692
2013,Idaho,Colon and Rectum,35.6,32.8,38.6,614,1612011
2013,Florida,Colon and Rectum,36.9,36.1,37.6,9781,19582022
2013,Connecticut,Colon and Rectum,36.6,34.7,38.4,1589,3596003
2013,Nevada,Colon and Rectum,38,35.8,40.4,1133,2786464
2013,New Hampshire,Colon and Rectum,38.1,35.1,41.3,626,1322687
2013,North Carolina,Colon and Rectum,37.5,36.4,38.7,4171,9841590
2013,Wisconsin,Colon and Rectum,37.3,35.8,38.8,2529,5742854
2013,Texas,Colon and Rectum,38,37.2,38.7,9599,26473525
2013,South Carolina,Colon and Rectum,37.5,35.8,39.1,2107,4767894
2013,Maryland,Colon and Rectum,36.3,34.9,37.9,2373,5931129
2013,Massachusetts,Colon and Rectum,36.5,35.2,37.9,2880,6706786
2013,Michigan,Colon and Rectum,37.7,36.6,38.9,4440,9898982
2013,Maine,Colon and Rectum,37.7,34.9,40.7,691,1329076
2013,New Jersey,Colon and Rectum,41.5,40.2,42.8,4295,8899162
2013,New York,Colon and Rectum,40,39.1,40.8,9057,19673546
2013,Ohio,Colon and Rectum,41.1,40.1,42.2,5725,11570022
2013,Tennessee,Colon and Rectum,38.7,37.3,40.2,2897,6494821
2013,Mississippi,Colon and Rectum,49.5,47.1,52,1674,2990482
2013,Kentucky,Colon and Rectum,49.5,47.6,51.5,2505,4400477
2014,District of Columbia,Colon and Rectum,46,40.7,51.7,288,659005
2014,North Dakota,Colon and Rectum,43.3,38.8,48.1,358,739904
2014,Ohio,Colon and Rectum,42.2,41.1,43.3,5917,11594408
2014,Illinois,Colon and Rectum,42.7,41.6,43.8,6185,12867544
2014,Indiana,Colon and Rectum,42.4,40.9,43.9,3175,6595233
2014,Iowa,Colon and Rectum,46.7,44.5,49,1761,3108030
2014,Louisiana,Colon and Rectum,45.7,43.9,47.6,2364,4647880
2014,Mississippi,Colon and Rectum,46.6,44.3,49,1591,2992400
2014,Alabama,Colon and Rectum,44.4,42.7,46.2,2537,4843214
2014,Alaska,Colon and Rectum,42.8,37.4,48.7,266,736705
2014,Arkansas,Colon and Rectum,44.8,42.6,47.1,1576,2966912
2014,Nebraska,Colon and Rectum,42.3,39.6,45.2,917,1881145
2014,South Dakota,Colon and Rectum,44.7,40.5,49.1,451,852561
2014,West Virginia,Colon and Rectum,47,44.2,49.9,1141,1848514
2014,Utah,Colon and Rectum,30,27.9,32.3,739,2941836
2014,Wyoming,Colon and Rectum,30.6,26.4,35.4,198,583642
2014,New Mexico,Colon and Rectum,32.7,30.4,35.1,798,2083024
2014,Oregon,Colon and Rectum,34.2,32.5,35.9,1648,3968371
