Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2004,Minnesota,Colon and Rectum,49.7,47.7,51.6,2541,5087713
2004,Mississippi,Colon and Rectum,56.5,53.8,59.4,1623,2889010
2004,Missouri,Colon and Rectum,51.3,49.5,53.1,3166,5747741
2004,Montana,Colon and Rectum,46,42,50.3,483,930009
2004,Nebraska,Colon and Rectum,54.6,51.3,58.1,1020,1749370
2004,Nevada,Colon and Rectum,50.4,47.4,53.5,1095,2346222
2004,New Hampshire,Colon and Rectum,52.1,48.2,56.1,685,1290121
2004,New Jersey,Colon and Rectum,54.8,53.3,56.3,5039,8634561
2004,New Mexico,Colon and Rectum,44.1,41.2,47.2,836,1903808
2004,New York,Colon and Rectum,53.3,52.3,54.3,10827,19171567
2004,Arkansas,Colon and Rectum,51.3,48.8,54,1548,2749686
2004,Alabama,Colon and Rectum,51.4,49.4,53.5,2470,4530729
2004,Massachusetts,Colon and Rectum,55.2,53.4,56.9,3851,6412281
2004,Michigan,Colon and Rectum,50.1,48.7,51.5,5163,10055315
2004,Maryland,Colon and Rectum,48.7,46.9,50.6,2633,5546935
2004,Louisiana,Colon and Rectum,54.3,52.1,56.5,2396,4552238
2004,Maine,Colon and Rectum,57.6,53.9,61.5,890,1313688
2004,Kansas,Colon and Rectum,51,48.4,53.7,1467,2734373
2004,Kentucky,Colon and Rectum,59.6,57.3,61.9,2546,4146101
2004,Indiana,Colon and Rectum,53.3,51.5,55.2,3368,6233007
2004,Iowa,Colon and Rectum,56.3,53.8,58.8,1944,2953635
2004,Illinois,Colon and Rectum,57.8,56.4,59.1,7200,12589773
2004,Hawaii,Colon and Rectum,52.9,49.1,56.9,737,1273569
2004,Idaho,Colon and Rectum,44.4,40.9,48.2,585,1391802
2004,Georgia,Colon and Rectum,51.7,50.1,53.4,3890,8769252
2004,Florida,Colon and Rectum,51.2,50.2,52.1,11297,17415318
2004,District of Columbia,Colon and Rectum,52.8,46.9,59.2,297,567754
2004,Delaware,Colon and Rectum,51.5,46.9,56.5,454,830803
2004,Colorado,Colon and Rectum,47.8,45.6,50,1899,4575013
2004,Connecticut,Colon and Rectum,54.8,52.5,57.2,2148,3496094
2004,California,Colon and Rectum,44.8,44.1,45.6,14311,35574576
2004,Alaska,Colon and Rectum,55.6,48.3,63.6,248,659286
2004,Wisconsin,Colon and Rectum,50.5,48.7,52.3,2953,5514026
2004,Wyoming,Colon and Rectum,46.7,41,53,244,509106
2004,South Dakota,Colon and Rectum,50.1,45.5,55.1,437,770396
2004,Tennessee,Colon and Rectum,49.3,47.6,51.1,3010,5910809
2004,Texas,Colon and Rectum,49.1,48.1,50.1,9314,22394023
